File_name;Red_mass;CM_energy;Rel_speed;Tot_sigma
dcsH1He0el_1000log10e_+0000.dat;7.4962491838E+8;1.0000000000E+0;1.5485088561E+6;2.2844582214E+2
dcsH1He0el_1000log10e_+0050.dat;7.4962491838E+8;1.1220184543E+0;1.6402637743E+6;2.3087879099E+2
dcsH1He0el_1000log10e_+0100.dat;7.4962491838E+8;1.2589254118E+0;1.7374555132E+6;2.3414095563E+2
dcsH1He0el_1000log10e_+0150.dat;7.4962491838E+8;1.4125375446E+0;1.8404062247E+6;2.2670967646E+2
dcsH1He0el_1000log10e_+0200.dat;7.4962491838E+8;1.5848931925E+0;1.9494571493E+6;2.0940419945E+2
dcsH1He0el_1000log10e_+0250.dat;7.4962491838E+8;1.7782794100E+0;2.0649697475E+6;1.9304592867E+2
dcsH1He0el_1000log10e_+0300.dat;7.4962491838E+8;1.9952623150E+0;2.1873268974E+6;1.8652379991E+2
dcsH1He0el_1000log10e_+0350.dat;7.4962491838E+8;2.2387211386E+0;2.3169341643E+6;1.8850854708E+2
dcsH1He0el_1000log10e_+0400.dat;7.4962491838E+8;2.5118864315E+0;2.4542211445E+6;1.9019965179E+2
dcsH1He0el_1000log10e_+0450.dat;7.4962491838E+8;2.8183829313E+0;2.5996428897E+6;1.8449995117E+2
dcsH1He0el_1000log10e_+0500.dat;7.4962491838E+8;3.1622776602E+0;2.7536814151E+6;1.7197865128E+2
dcsH1He0el_1000log10e_+0550.dat;7.4962491838E+8;3.5481338923E+0;2.9168472969E+6;1.5905440605E+2
dcsH1He0el_1000log10e_+0600.dat;7.4962491838E+8;3.9810717055E+0;3.0896813650E+6;1.5170506162E+2
dcsH1He0el_1000log10e_+0650.dat;7.4962491838E+8;4.4668359215E+0;3.2727564955E+6;1.5089287782E+2
dcsH1He0el_1000log10e_+0700.dat;7.4962491838E+8;5.0118723363E+0;3.4666795094E+6;1.5282172470E+2
dcsH1He0el_1000log10e_+0750.dat;7.4962491838E+8;5.6234132519E+0;3.6720931844E+6;1.5254962312E+2
dcsH1He0el_1000log10e_+0800.dat;7.4962491838E+8;6.3095734448E+0;3.8896783847E+6;1.4748957296E+2
dcsH1He0el_1000log10e_+0850.dat;7.4962491838E+8;7.0794578438E+0;4.1201563188E+6;1.3850786849E+2
dcsH1He0el_1000log10e_+0900.dat;7.4962491838E+8;7.9432823472E+0;4.3642909290E+6;1.2865257358E+2
dcsH1He0el_1000log10e_+0950.dat;7.4962491838E+8;8.9125093813E+0;4.6228914243E+6;1.2099497181E+2
dcsH1He0el_1000log10e_+1000.dat;7.4962491838E+8;1.0000000000E+1;4.8968149622E+6;1.1706065714E+2
dcsH1He0el_1000log10e_+1050.dat;7.4962491838E+8;1.1220184543E+1;5.1869694902E+6;1.1647063256E+2
dcsH1He0el_1000log10e_+1100.dat;7.4962491838E+8;1.2589254118E+1;5.4943167549E+6;1.1756153764E+2
dcsH1He0el_1000log10e_+1150.dat;7.4962491838E+8;1.4125375446E+1;5.8198754900E+6;1.1836977258E+2
dcsH1He0el_1000log10e_+1200.dat;7.4962491838E+8;1.5848931925E+1;6.1647247928E+6;1.1743724956E+2
dcsH1He0el_1000log10e_+1250.dat;7.4962491838E+8;1.7782794100E+1;6.5300077015E+6;1.1418448846E+2
dcsH1He0el_1000log10e_+1300.dat;7.4962491838E+8;1.9952623150E+1;6.9169349832E+6;1.0886907443E+2
dcsH1He0el_1000log10e_+1350.dat;7.4962491838E+8;2.2387211386E+1;7.3267891478E+6;1.0229376830E+2
dcsH1He0el_1000log10e_+1400.dat;7.4962491838E+8;2.5118864315E+1;7.7609286984E+6;9.5448525315E+1
dcsH1He0el_1000log10e_+1450.dat;7.4962491838E+8;2.8183829313E+1;8.2207926346E+6;8.9216631116E+1
dcsH1He0el_1000log10e_+1500.dat;7.4962491838E+8;3.1622776602E+1;8.7079052221E+6;8.4202403703E+1
dcsH1He0el_1000log10e_+1550.dat;7.4962491838E+8;3.5481338923E+1;9.2238810450E+6;8.0677156087E+1
dcsH1He0el_1000log10e_+1600.dat;7.4962491838E+8;3.9810717055E+1;9.7704303575E+6;7.8618065048E+1
dcsH1He0el_1000log10e_+1650.dat;7.4962491838E+8;4.4668359215E+1;1.0349364753E+7;7.7787268663E+1
dcsH1He0el_1000log10e_+1700.dat;7.4962491838E+8;5.0118723363E+1;1.0962603168E+7;7.7828318918E+1
dcsH1He0el_1000log10e_+1750.dat;7.4962491838E+8;5.6234132519E+1;1.1612178243E+7;7.8349936172E+1
dcsH1He0el_1000log10e_+1800.dat;7.4962491838E+8;6.3095734448E+1;1.2300243061E+7;7.8988197515E+1
dcsH1He0el_1000log10e_+1850.dat;7.4962491838E+8;7.0794578438E+1;1.3029078283E+7;7.9444521714E+1
dcsH1He0el_1000log10e_+1900.dat;7.4962491838E+8;7.9432823472E+1;1.3801099707E+7;7.9502457687E+1
